Slice,Distance,BandArea,BandMedian
1,2.0,146,188.5
1,4.0,95,209.0
2,2.0,109,171.0
2,4.0,87,190.0
3,2.0,124,171.0
3,4.0,80,198.5
4,2.0,115,176.0
4,4.0,87,200.0
5,2.0,107,177.0
5,4.0,75,204.0
6,2.0,119,188.0
6,4.0,90,210.0
7,2.0,134,189.0
7,4.0,109,210.0
7,6.0,59,217.0
8,2.0,175,185.0
8,4.0,123,209.0
8,6.0,68,213.5
9,2.0,207,171.0
9,4.0,168,197.5
9,6.0,69,209.0
10,2.0,221,172.0
10,4.0,196,193.0
10,6.0,98,202.5
11,2.0,234,177.0
11,4.0,227,197.0
11,6.0,138,208.0
12,2.0,189,171.0
12,4.0,180,187.0
12,6.0,139,198.0
12,8.0,112,199.0
12,10.0,67,186.0
13,2.0,191,145.0
13,4.0,174,161.0
13,6.0,139,164.0
13,8.0,116,167.5
13,10.0,78,164.5
13,12.0,42,158.0
14,2.0,222,148.0
14,4.0,235,170.0
14,6.0,164,177.0
14,8.0,98,187.0
15,2.0,212,154.0
15,4.0,225,179.0
15,6.0,166,195.0
15,8.0,109,195.0
16,2.0,194,166.0
16,4.0,181,189.0
16,6.0,137,210.0
16,8.0,110,212.0
16,10.0,67,210.0
17,2.0,202,169.0
17,4.0,182,195.0
17,6.0,129,214.0
17,8.0,106,216.0
17,10.0,59,212.0
18,2.0,216,162.0
18,4.0,204,180.0
18,6.0,126,209.0
18,8.0,104,207.0
18,10.0,49,199.0
19,2.0,208,150.5
19,4.0,186,166.5
19,6.0,132,183.0
19,8.0,102,189.0
19,10.0,61,177.0
20,2.0,196,157.0
20,4.0,184,175.5
20,6.0,130,194.5
20,8.0,104,195.5
20,10.0,70,178.0
21,2.0,220,159.5
21,4.0,199,183.0
21,6.0,148,198.5
21,8.0,93,200.0
22,2.0,209,150.0
22,4.0,191,174.0
22,6.0,149,185.0
22,8.0,99,185.0
23,2.0,194,164.0
23,4.0,178,193.0
23,6.0,138,199.0
23,8.0,104,194.5
24,2.0,191,168.0
24,4.0,177,196.0
24,6.0,142,208.0
24,8.0,116,199.0
25,2.0,201,168.0
25,4.0,184,195.5
25,6.0,149,203.0
25,8.0,125,197.0
26,2.0,204,161.0
26,4.0,189,184.0
26,6.0,148,197.0
26,8.0,124,200.0
27,2.0,208,154.0
27,4.0,188,175.0
27,6.0,145,191.0
27,8.0,127,199.0
28,2.0,213,147.0
28,4.0,192,164.0
28,6.0,153,174.0
28,8.0,124,184.0
29,2.0,214,149.0
29,4.0,205,167.0
29,6.0,160,175.0
29,8.0,118,185.0
29,10.0,74,198.0
30,2.0,209,145.0
30,4.0,193,167.0
30,6.0,157,172.0
30,8.0,138,176.5
30,10.0,88,190.0
30,12.0,45,203.0
31,2.0,203,158.0
31,4.0,188,180.0
31,6.0,157,193.0
31,8.0,141,195.0
31,10.0,101,205.0
31,12.0,50,218.0
32,2.0,206,166.0
32,4.0,189,190.0
32,6.0,158,204.0
32,8.0,142,212.0
32,10.0,98,217.0
32,12.0,52,224.5
33,2.0,200,159.0
33,4.0,187,180.0
33,6.0,157,197.0
33,8.0,138,204.0
33,10.0,104,207.5
33,12.0,65,212.0
34,2.0,194,155.5
34,4.0,182,180.0
34,6.0,152,197.5
34,8.0,139,204.0
34,10.0,101,212.0
34,12.0,69,212.0
35,2.0,191,146.0
35,4.0,186,167.0
35,6.0,152,188.5
35,8.0,136,201.0
35,10.0,95,205.0
35,12.0,73,205.0
36,2.0,185,145.0
36,4.0,180,169.0
36,6.0,147,193.0
36,8.0,130,201.5
36,10.0,89,209.0
36,12.0,64,208.0
37,2.0,180,143.0
37,4.0,170,170.0
37,6.0,145,188.0
37,8.0,128,201.5
37,10.0,91,210.0
37,12.0,62,214.0
38,2.0,195,133.0
38,4.0,186,153.0
38,6.0,153,174.0
38,8.0,130,186.0
38,10.0,92,202.0
38,12.0,57,211.0
39,2.0,197,133.0
39,4.0,186,152.0
39,6.0,156,165.0
39,8.0,142,178.0
39,10.0,95,202.0
39,12.0,62,212.5
40,2.0,196,136.0
40,4.0,179,157.0
40,6.0,148,178.5
40,8.0,135,193.0
40,10.0,93,209.0
40,12.0,59,219.0
41,2.0,198,133.0
