Slice,Distance,BandArea,BandMedian
1,2.0,87,205.0
2,2.0,107,176.0
2,4.0,78,190.0
2,6.0,41,194.0
3,2.0,122,166.0
3,4.0,69,179.0
4,2.0,136,162.0
4,4.0,86,178.0
5,2.0,283,166.0
5,4.0,178,186.0
6,2.0,263,181.0
6,4.0,231,200.0
7,2.0,261,187.0
7,4.0,245,208.0
8,2.0,279,182.0
8,4.0,250,202.0
9,2.0,213,182.0
9,4.0,168,206.0
10,2.0,414,177.0
10,4.0,259,200.0
10,6.0,108,215.5
11,2.0,324,171.0
11,4.0,269,186.0
11,6.0,154,198.0
11,8.0,49,186.0
12,2.0,401,176.0
12,4.0,328,193.0
12,6.0,192,203.0
12,8.0,131,202.0
13,2.0,448,176.0
13,4.0,358,193.0
13,6.0,174,204.0
13,8.0,137,205.0
14,2.0,742,162.0
14,4.0,534,180.0
14,6.0,283,187.0
14,8.0,152,186.0
15,2.0,847,153.0
15,4.0,718,171.0
15,6.0,383,175.0
15,8.0,125,180.0
16,2.0,1130,163.0
16,4.0,829,182.0
16,6.0,413,191.0
16,8.0,160,197.0
17,2.0,1404,162.0
17,4.0,1071,181.0
17,6.0,487,191.0
17,8.0,205,200.0
18,2.0,1427,156.0
18,4.0,1148,174.0
18,6.0,549,189.0
18,8.0,270,194.0
19,2.0,632,161.0
19,4.0,519,181.0
19,6.0,371,192.0
19,8.0,247,202.0
20,2.0,1379,157.0
20,4.0,1199,176.0
20,6.0,730,189.0
20,8.0,476,193.0
20,10.0,179,201.0
21,2.0,1160,141.0
21,4.0,1056,160.0
21,6.0,772,171.0
21,8.0,574,177.0
21,10.0,185,181.0
22,2.0,1142,143.0
22,4.0,1117,160.0
22,6.0,771,172.0
22,8.0,608,174.0
22,10.0,288,172.0
22,12.0,107,177.0
23,2.0,1124,144.0
23,4.0,1118,165.0
23,6.0,806,176.0
23,8.0,628,176.0
23,10.0,349,171.0
23,12.0,90,179.5
24,2.0,1414,142.0
24,4.0,1378,161.0
24,6.0,969,172.0
24,8.0,696,176.0
24,10.0,331,173.0
25,2.0,1490,141.0
25,4.0,1401,160.0
25,6.0,1063,170.0
25,8.0,625,170.0
25,10.0,269,176.0
25,12.0,148,190.0
26,2.0,1493,143.0
26,4.0,1439,161.0
26,6.0,991,172.0
26,8.0,578,179.0
26,10.0,267,181.0
26,12.0,211,182.0
26,14.0,144,184.0
27,2.0,1751,135.0
27,4.0,1599,152.0
27,6.0,1086,162.0
27,8.0,789,169.0
27,10.0,326,174.5
27,12.0,190,187.0
27,14.0,107,184.0
28,2.0,1623,117.0
28,4.0,1563,133.0
28,6.0,1108,141.0
28,8.0,710,148.0
28,10.0,406,157.0
28,12.0,229,157.0
28,14.0,106,159.0
29,2.0,1468,115.0
29,4.0,1495,129.0
29,6.0,1011,140.0
29,8.0,663,144.0
29,10.0,443,141.0
29,12.0,334,144.0
29,14.0,197,149.0
29,16.0,93,163.0
30,2.0,1459,125.0
30,4.0,1424,143.0
30,6.0,992,153.0
30,8.0,739,158.0
30,10.0,455,158.0
30,12.0,277,156.0
30,14.0,171,170.0
30,16.0,94,176.5
31,2.0,1611,131.0
31,4.0,1510,150.0
31,6.0,971,163.0
31,8.0,618,170.0
31,10.0,354,174.0
31,12.0,232,171.0
31,14.0,194,181.5
31,16.0,151,184.0
31,18.0,116,178.0
32,2.0,1540,132.0
32,4.0,1466,149.0
32,6.0,971,159.0
32,8.0,674,170.0
32,10.0,406,174.0
32,12.0,268,167.0
32,14.0,209,177.0
32,16.0,148,182.5
32,18.0,105,189.0
33,2.0,1628,126.0
33,4.0,1503,144.0
33,6.0,999,157.0
33,8.0,707,164.0
33,10.0,389,167.0
33,12.0,263,164.0
33,14.0,175,172.0
33,16.0,122,169.0
34,2.0,1602,117.0
34,4.0,1458,130.0
34,6.0,1086,140.0
34,8.0,920,147.0
34,10.0,494,155.0
34,12.0,310,157.0
34,14.0,136,162.5
35,2.0,1451,118.0
35,4.0,1451,133.0
35,6.0,1133,142.0
35,8.0,874,152.0
35,10.0,440,152.0
35,12.0,296,147.0
35,14.0,193,149.0
35,16.0,85,162.0
36,2.0,1463,127.0
36,4.0,1502,143.0
36,6.0,1084,156.0
36,8.0,751,166.0
36,10.0,429,158.0
36,12.0,255,152.0
36,14.0,220,156.0
36,16.0,140,164.5
36,18.0,100,175.0
36,20.0,59,187.0
37,2.0,1435,131.0
37,4.0,1492,148.5
37,6.0,1136,162.0
37,8.0,823,165.0
37,10.0,421,164.0
37,12.0,214,158.5
37,14.0,165,165.0
37,16.0,127,169.0
37,18.0,91,179.0
38,2.0,1539,127.0
38,4.0,1589,145.0
38,6.0,1167,159.0
38,8.0,846,166.0
38,10.0,413,169.0
38,12.0,173,176.0
38,14.0,86,172.0
39,2.0,1507,120.0
39,4.0,1429,135.0
39,6.0,1052,146.0
39,8.0,850,157.0
39,10.0,402,167.0
39,12.0,200,175.0
39,14.0,134,181.5
40,2.0,1328,104.0
40,4.0,1309,119.0
40,6.0,1048,131.0
40,8.0,888,140.0
40,10.0,462,149.0
40,12.0,194,158.5
40,14.0,98,153.5
41,2.0,1260,104.0
41,4.0,1210,120.0
41,6.0,979,132.0
41,8.0,864,141.0
41,10.0,525,153.0
41,12.0,298,155.0
41,14.0,108,143.5
42,2.0,1182,115.0
42,4.0,1118,134.0
42,6.0,910,147.0
42,8.0,763,157.0
42,10.0,571,162.0
42,12.0,366,170.0
42,14.0,163,171.0
42,16.0,87,165.0
43,2.0,1226,124.0
43,4.0,1124,146.0
43,6.0,893,158.0
43,8.0,754,170.0
43,10.0,534,178.0
43,12.0,294,178.0
43,14.0,158,180.0
43,16.0,85,173.0
43,18.0,52,172.5
44,2.0,1241,112.0
44,4.0,1095,131.0
44,6.0,764,145.0
44,8.0,660,151.0
44,10.0,526,154.0
44,12.0,386,155.5
44,14.0,199,159.0
44,16.0,85,170.0
45,2.0,1252,118.0
45,4.0,1236,137.0
45,6.0,891,152.0
45,8.0,770,162.0
45,10.0,503,173.0
45,12.0,217,182.0
45,14.0,96,181.0
46,2.0,1342,120.0
46,4.0,1261,140.0
46,6.0,893,154.0
46,8.0,789,163.0
46,10.0,472,171.0
46,12.0,232,184.0
47,2.0,1325,125.0
47,4.0,1287,144.0
47,6.0,992,158.0
47,8.0,869,164.0
47,10.0,508,170.0
47,12.0,241,180.0
47,14.0,93,179.0
48,2.0,1369,114.0
48,4.0,1400,130.0
48,6.0,1041,143.0
48,8.0,857,152.0
48,10.0,501,153.0
48,12.0,240,163.0
49,2.0,1399,123.0
49,4.0,1369,142.0
49,6.0,893,155.0
49,8.0,662,165.5
49,10.0,395,167.0
49,12.0,270,175.0
49,14.0,196,166.0
49,16.0,148,153.0
49,18.0,101,151.0
49,20.0,40,151.0
50,2.0,1376,123.0
50,4.0,1293,142.0
50,6.0,859,160.0
50,8.0,689,165.0
50,10.0,434,160.5
50,12.0,299,162.0
50,14.0,205,157.0
50,16.0,154,158.0
50,18.0,67,172.0
51,2.0,1203,115.0
51,4.0,1155,135.0
51,6.0,906,148.0
51,8.0,742,157.0
51,10.0,439,156.0
51,12.0,305,154.0
51,14.0,238,155.5
51,16.0,139,161.0
51,18.0,64,175.0
52,2.0,1184,123.0
52,4.0,1158,141.0
52,6.0,875,156.0
52,8.0,746,168.0
52,10.0,448,169.0
52,12.0,299,166.0
52,14.0,214,174.0
52,16.0,154,181.5
52,18.0,81,196.0
53,2.0,1282,127.0
53,4.0,1223,144.0
53,6.0,851,162.0
53,8.0,748,172.0
53,10.0,522,174.0
53,12.0,294,180.0
53,14.0,181,191.0
53,16.0,109,191.0
53,18.0,73,194.0
54,2.0,1245,116.0
54,4.0,1244,133.0
54,6.0,951,146.0
54,8.0,744,158.0
54,10.0,508,165.0
54,12.0,291,172.0
54,14.0,149,180.0
54,16.0,80,178.0
54,18.0,48,168.5
55,2.0,1305,119.0
55,4.0,1157,140.0
55,6.0,921,156.0
55,8.0,772,162.0
55,10.0,462,166.0
55,12.0,279,167.0
55,14.0,154,171.5
56,2.0,1391,108.0
56,4.0,1284,128.0
56,6.0,898,146.0
56,8.0,675,155.0
56,10.0,421,156.0
56,12.0,232,145.5
56,14.0,83,160.0
57,2.0,1393,115.0
57,4.0,1289,135.0
57,6.0,943,152.0
57,8.0,805,163.0
57,10.0,448,168.0
57,12.0,158,171.5
58,2.0,1380,118.0
58,4.0,1329,138.0
58,6.0,969,155.0
58,8.0,808,170.0
58,10.0,421,182.0
58,12.0,122,180.5
59,2.0,1362,119.0
59,4.0,1245,138.0
59,6.0,919,159.0
59,8.0,644,173.0
59,10.0,324,172.0
59,12.0,177,161.0
59,14.0,135,171.0
59,16.0,86,178.0
60,2.0,1352,117.0
60,4.0,1172,137.0
60,6.0,911,154.0
60,8.0,629,171.0
60,10.0,311,167.0
60,12.0,214,156.0
60,14.0,170,160.0
60,16.0,115,156.0
61,2.0,1292,124.0
61,4.0,1188,146.0
61,6.0,831,166.0
61,8.0,599,176.0
61,10.0,332,176.0
61,12.0,209,163.0
61,14.0,158,159.5
61,16.0,110,157.5
62,2.0,1484,122.0
62,4.0,1354,143.0
62,6.0,857,163.0
62,8.0,574,170.0
62,10.0,294,175.5
62,12.0,192,165.0
62,14.0,142,152.0
62,16.0,85,160.0
62,18.0,49,157.0
63,2.0,1441,120.0
63,4.0,1386,140.0
63,6.0,991,157.0
63,8.0,709,162.0
63,10.0,267,179.0
63,12.0,124,191.0
64,2.0,1407,114.0
64,4.0,1382,133.0
64,6.0,996,150.0
64,8.0,716,157.0
64,10.0,324,167.0
65,2.0,1109,111.0
65,4.0,1091,129.0
65,6.0,878,139.0
65,8.0,744,146.0
65,10.0,403,155.0
65,12.0,192,161.5
65,14.0,73,195.0
66,2.0,1274,115.0
66,4.0,1189,134.0
66,6.0,984,147.0
66,8.0,690,153.0
66,10.0,329,158.0
66,12.0,182,165.0
66,14.0,120,175.0
66,16.0,78,188.5
67,2.0,1179,106.0
67,4.0,1159,125.0
67,6.0,907,138.0
67,8.0,646,143.0
67,10.0,358,153.5
67,12.0,185,159.0
67,14.0,107,170.0
68,2.0,1264,103.0
68,4.0,1132,122.0
68,6.0,859,137.0
68,8.0,618,142.0
68,10.0,276,143.0
68,12.0,159,138.0
68,14.0,116,151.5
68,16.0,81,163.0
68,18.0,45,164.0
69,2.0,1247,95.0
69,4.0,1182,110.0
69,6.0,899,125.0
69,8.0,696,130.0
69,10.0,236,137.5
69,12.0,128,143.0
69,14.0,91,147.0
69,16.0,44,157.0
70,2.0,1201,89.0
70,4.0,1219,105.0
70,6.0,933,119.0
70,8.0,657,123.0
70,10.0,278,127.0
70,12.0,124,133.5
70,14.0,68,143.5
71,2.0,1192,101.0
71,4.0,1146,119.0
71,6.0,923,131.0
71,8.0,660,139.0
71,10.0,318,140.0
71,12.0,149,151.0
71,14.0,109,159.0
71,16.0,57,163.0
72,2.0,1217,106.0
72,4.0,1184,125.0
72,6.0,926,140.0
72,8.0,719,146.0
72,10.0,301,153.0
72,12.0,171,153.0
72,14.0,80,163.5
73,2.0,1198,116.0
73,4.0,1139,140.0
73,6.0,942,155.0
73,8.0,740,163.0
73,10.0,374,162.0
73,12.0,210,152.5
74,2.0,1240,116.5
74,4.0,1183,137.0
74,6.0,889,158.0
74,8.0,704,169.0
74,10.0,454,163.5
74,12.0,186,164.0
75,2.0,1205,117.0
75,4.0,1237,138.0
75,6.0,1000,158.0
75,8.0,752,169.5
75,10.0,357,167.0
75,12.0,175,168.0
76,2.0,1243,117.0
76,4.0,1248,139.0
76,6.0,994,157.0
76,8.0,815,168.0
76,10.0,400,164.0
76,12.0,135,170.0
77,2.0,1167,111.0
77,4.0,1205,132.0
77,6.0,960,146.0
77,8.0,836,162.0
77,10.0,423,163.0
77,12.0,175,157.0
77,14.0,58,182.0
78,2.0,1073,105.0
78,4.0,1121,124.0
78,6.0,876,140.0
78,8.0,858,147.0
78,10.0,538,148.0
78,12.0,245,155.0
78,14.0,68,162.0
79,2.0,993,107.0
79,4.0,1042,124.0
79,6.0,839,143.0
79,8.0,797,155.0
79,10.0,552,158.0
79,12.0,343,151.0
79,14.0,238,148.5
79,16.0,67,144.0
80,2.0,1051,109.0
80,4.0,992,127.0
80,6.0,741,145.0
80,8.0,700,156.0
80,10.0,485,166.0
80,12.0,319,168.0
80,14.0,217,166.0
81,2.0,964,99.0
81,4.0,882,116.0
81,6.0,706,130.5
81,8.0,637,142.0
81,10.0,495,144.0
81,12.0,354,149.0
81,14.0,236,164.5
81,16.0,135,163.0
82,2.0,825,90.0
